,group,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
370,Quellaveco,10.4,20.4,2.08,6.8,0.93,0.21,0.6,0.12,0.67,0.14,0.45,0.08,0.52,0.09
371,Quellaveco,16.7,35.6,4.27,15.6,2.78,0.77,1.85,0.3,1.3,0.25,0.67,0.1,0.63,0.11
372,Quellaveco,17.9,36.7,4.46,15.5,2.86,0.79,1.76,0.27,1.2,0.2,0.49,0.07,0.5,0.08
373,Quellaveco,18.2,36.3,3.98,14.7,2.26,0.73,1.59,0.27,1.14,0.22,0.57,0.09,0.57,0.1
375,Yanacocha,19.2,38,4.5,17.8,3.2,1.1,3.1,0.5,2.6,0.5,1.4,0.2,1.3,0.2
376,Yanacocha,18.5,35,4.1,16,3.2,0.7,2.7,0.4,2.3,0.4,1.3,0.1,1.3,0.2
377,Yanacocha,21,41.5,5.2,21,4,1.2,3.4,0.5,2.9,0.5,1.4,0.2,1.5,0.2
378,Yanacocha,19.5,36,4.5,16.5,3.3,0.8,3.1,0.4,2.2,0.5,1.3,0.2,1.2,0.2
379,Yanacocha,24.5,48.5,5.8,21.5,3.9,1,3,0.4,2.2,0.3,1,0.1,1,0.1
380,Yanacocha,20.5,37.5,5,19.5,3.3,0.9,2.9,0.4,2.3,0.4,1.4,0.1,1.1,0.1
381,Yanacocha,20.7,39.9,4.8,18,3,0.9,2.4,0.3,1.6,0.3,0.8,0.1,0.7,0.1
382,Yanacocha,20,37.5,4.2,15.5,2.7,0.7,2.1,0.3,1.3,0.2,0.6,0.1,0.6,0.1
383,Yanacocha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,Yanacocha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,Yanacocha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,Yanacocha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,Yanacocha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,Yanacocha,21.5,35.9,4.4,15.5,2.4,0.7,1.6,0.2,0.9,0.2,0.5,0.1,0.6,0.1
389,Yanacocha,22.8,42.3,5.2,19.3,3.6,1,2.2,0.4,1.7,0.3,0.9,0.2,1.1,0.2
390,Yanacocha,21,40.6,5,19.1,3.4,1.1,2.5,0.3,1.8,0.4,1,0.2,1.1,0.2
391,Yanacocha,18.7,35.1,4.2,15.5,2.4,0.8,1.6,0.2,1.2,0.2,0.5,0.1,0.6,0.1
392,Yanacocha,18.3,32.1,4,14,2.4,0.6,1.4,0.2,0.9,0.2,0.5,0.1,0.5,0.1
393,Yanacocha,30.2,47.3,7.2,29.3,5.9,1.9,5.8,0.7,4.8,1,3,0.5,2.7,0.5
394,Yanacocha,21.5,35.9,4.4,15.5,2.4,0.7,1.6,0.2,0.9,0.2,0.5,0.1,0.6,0.1
395,Yanacocha,31.7,53.4,8.1,35,7.1,2.5,6.2,0.8,5.4,1.1,2.8,0.5,2.8,0.5
396,Yanacocha,23.5,41,5.6,21.6,3.5,1,2.3,0.3,1.7,0.3,0.9,0.2,0.9,0.1
397,Yanacocha,20.6,39.7,5,18.8,3.1,0.9,2,0.3,1.4,0.3,0.7,0.1,0.6,0.1
398,Yanacocha,22.2,41.7,5.4,19.9,3.5,1.1,2.3,0.3,1.5,0.3,0.7,0.1,0.7,0.1
399,Yanacocha,17.8,32.5,4,14.8,2.5,0.7,1.7,0.2,1.1,0.2,0.5,0.1,0.6,0.1
400,Yanacocha,17.1,31,3.7,14.2,2.3,0.7,1.4,0.2,0.9,0.2,0.6,0.1,0.5,0.1
401,Yanacocha,18.6,33.1,3.9,13.3,2,0.6,1.1,0.2,0.9,0.2,0.5,0.1,0.6,0.1
402,Yanacocha,15.5,26.5,3,10.5,2,0.5,1.5,0.2,1,0.1,0.5,0.09,0.6,0.1
403,Yanacocha,20,37,4.4,16,2.6,0.7,2.2,0.3,1.4,0.2,0.6,0.09,0.6,0.1
404,Yanacocha,26.5,51,6.1,23,3.7,0.9,3.1,0.4,2,0.3,0.8,0.1,0.9,0.1
405,Yanacocha,21.5,38,5.1,18.5,3.6,0.8,2.7,0.4,1.8,0.3,0.9,0.1,0.7,0.1
406,Yanacocha,24,44,6,23,3.8,1.1,3.1,0.4,2.5,0.5,1.3,0.1,1.3,0.1
407,Yanacocha,21.5,44.5,5.1,20.5,3.7,1,2.6,0.4,2.1,0.3,1,0.1,0.8,0.1
408,Yanacocha,23.4,44.8,6.2,23.8,4.4,1.1,3.8,0.5,2.4,0.4,1.3,0.1,1.1,0.2
409,Yanacocha,21,43,5.2,19.5,3.6,1.1,2.9,0.4,1.9,0.3,0.9,0.1,0.9,0.1
410,Yanacocha,20.5,39,4.7,17,3.3,0.9,2.5,0.4,1.8,0.3,0.8,0.1,0.8,0.1
411,Yanacocha,20.5,37.5,4.7,18.5,3.2,1,2.4,0.3,1.6,0.3,0.8,0.1,0.8,0.1
412,Yanacocha,22.9,43.1,5,18.2,3.2,0.9,2.6,0.3,1.5,0.3,0.9,0.1,0.9,0.1
413,Yanacocha,24.5,48.5,5.8,21.5,3.9,1,3,0.4,2.2,0.3,1,0.1,1,0.1
414,Yanacocha,24.5,48.5,5.8,21.5,3.9,1,3,0.4,2.2,0.3,1,0.1,1,0.1
415,Yanacocha,20.5,37.5,5,19.5,3.3,0.9,2.9,0.4,2.3,0.4,1.4,0.1,1.1,0.1
416,Yanacocha,20.2,39.9,4.9,18.2,3.4,1,3,0.4,1.9,0.4,1.1,0.1,1,0.1
417,Yanacocha,27.5,56.5,6.7,27,4.7,1.2,4.1,0.5,3.2,0.6,1.6,0.3,1.7,0.2
418,Yanacocha,19.4,37.7,4.8,18.8,3.7,1.1,3.3,0.5,2.7,0.6,1.6,0.5,1.5,0.3
419,Yanacocha,17,34.5,4.4,17,3.7,0.9,3.3,0.5,2.6,0.5,1.5,0.2,1.2,0.2
420,Yanacocha,15,29.5,4,17,4.1,1,3.3,0.5,3.1,0.6,1.5,0.2,1.6,0.2
421,"Tampakan, Mindanao",22.37777035,46.35329966,6.202875689,24.05372713,4.69861016,1.424093273,4.105678845,0.567277656,2.935809204,0.603427406,1.671857559,NA,1.528159413,0.241239633
422,"Tampakan, Mindanao",21.11812925,46.47610524,6.109229048,24.43554226,4.757654548,1.35751242,3.748546141,0.529194396,2.661508894,0.570496264,1.585105107,NA,1.566666886,0.242305879
423,"Tampakan, Mindanao",19.65743474,42.21440306,5.450981102,21.49752275,4.364001002,1.31903086,3.839526536,0.59949229,3.088143857,0.677912685,1.901976658,NA,1.848110595,0.283376479
